order_id,order_date,year,month,product_name,category,brand,unit_price,quantity,total_price,discount,discount_range,discount_category,is_discounted,final_price,customer_id,customer_name,region
ORD0418,2023-02-22,2023,February,Produk 95,Minuman,Levi's,11722,1,11722,0.22,"(0.15, 0.22]",High,Yes,9143,C128,Customer 128,Bandung
ORD0291,2022-10-18,2022,October,Produk 70,Pakaian,Indomaret,11645,5,58225,0.21,"(0.15, 0.22]",High,Yes,45998,C225,Customer 225,Bandung
ORD0096,2022-04-06,2022,April,Produk 56,Snack,Levi's,32965,5,164825,0.26,"(0.22, 0.3]",Very High,Yes,121970,C191,Customer 191,Medan
ORD0088,2022-03-29,2022,March,Produk 83,Minuman,Indomaret,45411,4,181644,0.03,"(-0.001, 0.0775]",Low,Yes,176195,C132,Customer 132,Yogyakarta
ORD0078,2022-03-19,2022,March,Produk 58,Snack,Indomaret,7717,2,15434,0.21,"(0.15, 0.22]",High,Yes,12193,C199,Customer 199,Yogyakarta
ORD0288,2022-10-15,2022,October,Produk 4,Snack,Levi's,40840,1,40840,0.15,"(0.0775, 0.15]",Moderate,Yes,34714,C087,Customer 87,Surabaya
ORD0120,2022-04-30,2022,April,Produk 4,Snack,Levi's,40840,2,81680,0.25,"(0.22, 0.3]",Very High,Yes,61260,C024,Customer 24,Surabaya
ORD0302,2022-10-29,2022,October,Produk 20,Elektronik,Lifebuoy,12973,2,25946,0.15,"(0.0775, 0.15]",Moderate,Yes,22054,C247,Customer 247,Medan
ORD0491,2023-05-06,2023,May,Produk 10,Snack,Indomaret,14524,1,14524,0.19,"(0.15, 0.22]",High,Yes,11764,C054,Customer 54,Jakarta
ORD0400,2023-02-04,2023,February,Produk 24,Pakaian,Levi's,41368,1,41368,0.14,"(0.0775, 0.15]",Moderate,Yes,35576,C128,Customer 128,Bandung
ORD0452,2023-03-28,2023,March,Produk 99,Minuman,Levi's,40822,5,204110,0.14,"(0.0775, 0.15]",Moderate,Yes,175535,C048,Customer 48,Jakarta
ORD0500,2023-05-15,2023,May,Produk 26,Kebutuhan Harian,Aqua,46914,5,234570,0.23,"(0.22, 0.3]",Very High,Yes,180619,C086,Customer 86,Jakarta
ORD0165,2022-06-14,2022,June,Produk 37,Snack,Lifebuoy,15395,1,15395,0.19,"(0.15, 0.22]",High,Yes,12470,C037,Customer 37,Bandung
ORD0182,2022-07-01,2022,July,Produk 85,Pakaian,Indomaret,24846,3,74538,0.19,"(0.15, 0.22]",High,Yes,60376,C142,Customer 142,Jakarta
ORD0469,2023-04-14,2023,April,Produk 54,Snack,Levi's,29442,5,147210,0.14,"(0.0775, 0.15]",Moderate,Yes,126601,C037,Customer 37,Bandung
ORD0398,2023-02-02,2023,February,Produk 21,Minuman,Lifebuoy,13577,3,40731,0.16,"(0.15, 0.22]",High,Yes,34214,C093,Customer 93,Medan
ORD0223,2022-08-11,2022,August,Produk 74,Pakaian,Aqua,43565,1,43565,0.22,"(0.15, 0.22]",High,Yes,33981,C028,Customer 28,Jakarta
ORD0311,2022-11-07,2022,November,Produk 38,Snack,Lifebuoy,21241,5,106205,0.25,"(0.22, 0.3]",Very High,Yes,79654,C069,Customer 69,Medan
ORD0432,2023-03-08,2023,March,Produk 46,Elektronik,Levi's,26566,2,53132,0.21,"(0.15, 0.22]",High,Yes,41974,C238,Customer 238,Surabaya
ORD0466,2023-04-11,2023,April,Produk 4,Snack,Levi's,40840,1,40840,0.28,"(0.22, 0.3]",Very High,Yes,29405,C099,Customer 99,Surabaya
ORD0007,2022-01-07,2022,January,Produk 60,Elektronik,Samsung,25908,4,103632,0.25,"(0.22, 0.3]",Very High,Yes,77724,C189,Customer 189,Jakarta
ORD0330,2022-11-26,2022,November,Produk 57,Kebutuhan Harian,Indomaret,7079,3,21237,0.17,"(0.15, 0.22]",High,Yes,17627,C147,Customer 147,Yogyakarta
ORD0263,2022-09-20,2022,September,Produk 45,Minuman,Samsung,36195,1,36195,0.2,"(0.15, 0.22]",High,Yes,28956,C160,Customer 160,Medan
ORD0161,2022-06-10,2022,June,Produk 20,Elektronik,Lifebuoy,12973,1,12973,0.28,"(0.22, 0.3]",Very High,Yes,9341,C247,Customer 247,Yogyakarta
ORD0151,2022-05-31,2022,May,Produk 17,Pakaian,Levi's,30150,5,150750,0.19,"(0.15, 0.22]",High,Yes,122108,C250,Customer 250,Jakarta
ORD0085,2022-03-26,2022,March,Produk 71,Elektronik,Aqua,43000,5,215000,0.25,"(0.22, 0.3]",Very High,Yes,161250,C164,Customer 164,Jakarta
ORD0147,2022-05-27,2022,May,Produk 4,Snack,Levi's,40840,5,204200,0.21,"(0.15, 0.22]",High,Yes,161318,C123,Customer 123,Bandung
ORD0112,2022-04-22,2022,April,Produk 93,Snack,Lifebuoy,24694,4,98776,0.17,"(0.15, 0.22]",High,Yes,81984,C190,Customer 190,Medan
ORD0381,2023-01-16,2023,January,Produk 14,Minuman,Lifebuoy,37409,5,187045,0.07,"(-0.001, 0.0775]",Low,Yes,173952,C054,Customer 54,Bandung
ORD0403,2023-02-07,2023,February,Produk 3,Kebutuhan Harian,Aqua,24256,1,24256,0.13,"(0.0775, 0.15]",Moderate,Yes,21103,C194,Customer 194,Surabaya
ORD0036,2022-02-05,2022,February,Produk 88,Elektronik,Levi's,15998,5,79990,0.29,"(0.22, 0.3]",Very High,Yes,56793,C236,Customer 236,Medan
